股票,主营业务,公司亮点,概念贴合度排名,所属申万行业
爱婴室,主营业务：全品类母婴用品的生产、销售和服务。,"公司亮点：国内首家自建仓储物流中心的母婴连锁企业,为孕前至6岁婴幼儿家庭提供全","概念贴合度排名：社区团购…,托育服务一,三胎概念、四,长三角一体化,电子商务,跨",所属申万行业：专业连锁II
家家悦,主营业务：连锁超市经营。,"公司亮点：立足于山东省内,以大卖场和综合超市为主体的零售渠道商","概念贴合度排名：社区团购,预制菜,电子商务国,沪股通,冷链物流,融资融券,",所属申万行业：一般零售
三全食品,主营业务：速冻和冷藏面米制品、速冻和冷藏调制食品等多种食品的研发、制造与销售。,公司亮点：国内速冻食品行业的龙头,"概念贴合度排名：预制菜一,社区团购”,超级品牌国,电子商务,海底捞概念,融资融",所属申万行业：食品加工
利群股份,主营业务：零售连锁、物流供应链及食品生产加工。,公司亮点：以商业物流、商业零售为主业的大型商业集团,"概念贴合度排名：预制菜,统一大市场口,冷链物流具,电子商务,抖音概念(字节概念)",所属申万行业：一般零售
甘源食品,主营业务：休闲食品的研发、生产和销售。,公司亮点：国内领先的豆类休闲食品品牌,"概念贴合度排名：社区团购…,网络直播,电子商务具,抖音小店,深股通详情>>",所属申万行业：休闲食品
来伊份,主营业务：自主品牌的休闲食品连锁经营,公司亮点：国内销售规模、拥有门店数量领先的休闲食品连锁经营企业之一,"概念贴合度排名：社区团购…,网络直播一,白酒概念、国,IP经济(谷子经济),电子商务,",所属申万行业：休闲食品
中百集团,主营业务：商业零售。,"公司亮点：武汉国资委旗下的湖北商超龙头,永辉超市为公司第三大股东","概念贴合度排名：免税店,社区团购,预制菜国,IP经济(谷子经济),电子商务,抖音",所属申万行业：一般零售
劲仔食品,主营业务：中式风味休闲零食研发、生产与销售。,"公司亮点：鱼类零食龙头企业,拥有主打产品""劲仔“深海小鱼,休闲豆制品行业前十","概念贴合度排名：社区团购…,网络直播,电子商务具,抖音小店,深股通,一带一路",所属申万行业：休闲食品
武商集团,主营业务：从事购物中心及超市业态的商品销售业务。,公司亮点：湖北省最大的综合性商业零售及批发企业,"概念贴合度排名：社区团购,免税店,预制菜具,白酒概念,冰雪产业,参股银行,",所属申万行业：一般零售
合百集团,主营业务：零售业、农产品交易市场的生产、销售。,公司亮点：安徽省唯一的商业上市公司,"概念贴合度排名：社区团购一,预制菜一,网络直播四,参股银行,充电桩,创投,电子",所属申万行业：一般零售
供销大集,主营业务：商业运营业务、商贸物流业务、商品贸易业务。,"公司亮点：深耕""供,销""商业模式,为城乡商品流通提供优质服务","概念贴合度排名：社区团购,网络直播,海南自贸区口,百度概念,电子商务,抖音",所属申万行业：一般零售
大东方,主营业务：百货零售业务、三凤桥品牌经营业务、医疗健康业务。,"公司亮点：大东方百货、""东方汽车""、""中华老字号三凤桥食品""拥有品牌优势","概念贴合度排名：社区团购一,网络直播一,预制菜具,参股银行,民营医院,三胎概念,",所属申万行业：一般零售
永辉超市,"主营业务：以经营生鲜为特色,以大卖场、卖场及社区超市为核心业态、以便利店的特","公司亮点：以经营生鲜为特色,以卖场、社区超市为核心业态的商业零售龙头","概念贴合度排名：社区团购,预制菜,电子商务国,IP经济(谷子经济),福建自贸区,",所属申万行业：一般零售
三江购物,主营业务：社区生鲜超市业务的开发、销售。,"公司亮点：第二大股东为阿里巴巴泽泰,致力于打造互联网时代新零售的社区生鲜超市,","概念贴合度排名：阿里巴巴概念、一,社区团购”,预制菜,电子商务,共同富裕示范区,",所属申万行业：一般零售
