股票,主营业务,公司亮点,概念贴合度排名,所属申万行业
东方证券,主营业务：投资管理、经纪及证券金融、证券销售及交易、投资银行、管理本部及其他业,"公司亮点：资产管理业务长期业绩优异,汇添富基金位居全国前列","概念贴合度排名：期货概念一,互联网金融”,证金持股具,沪股通,融资融券详情>>",所属申万行业：证券I
国金证券,主营业务：投资银行业务、财富管理业务、机构服务业务、资产管理业务、自营投资业,"公司亮点：业务范围辐射全国的综合类券商,公司已基本实现全牌照经营","概念贴合度排名：期货概念一,互联网金融”,腾讯概念四,沪股通,融资融券,西部大开",所属申万行业：证券I
顶点软件,"主营业务：金融行业信息化业务,同时也开展非金融行业信息化业务。",公司亮点：国内领先的专业化平台型软件及信息化服务提供商,"概念贴合度排名：信创,鸿蒙概念一,互联网金融国,DeepSeek概念,福建自贸区,沪",所属申万行业：软件开发
信雅达,主营业务：为银行等金融机构提供软件产品及服务。,"公司亮点：面向银行为主的金融机构,提供专业解决方案的金融科技服务商","概念贴合度排名：数字水印,ChatGPT概念、,数字经济具,AI智能体,DeepSeek概念,",所属申万行业：软件开发
方正证券,主营业务：财富管理、投资与交易、资产管理、投资银行、研究服务等相关金融服务业,公司亮点：中国中部及西部净资本和股票基金交易总金额最大的证券公司,"概念贴合度排名：期货概念一,互联网金融”,证金持股具,沪股通,融资融券详情>>",所属申万行业：证券I
大智慧,主营业务：证券信息服务、大数据及数据工程服务、境外业务三大板块。,公司亮点：领先的互联网金融信息服务提供商之一,"概念贴合度排名：互联网金融一,鸿蒙概念”,数据中心一,股权转让(并购重组),沪股通",所属申万行业：软件开发
金证股份,"主营业务：为证券,基金,银行,期货,信托,交易所,监管机构等行业客户提供全技术",公司亮点：国内最大的金融证券软件开发商和系统集成商之一,"概念贴合度排名：华为概念,DeepSeek概念,AI智能体,电子商务,独角兽概念,互",所属申万行业：IT服务I
京北方,主营业务：基于人工智能、大数据、云计算、区块链、隐私计算及数字孪生等新一代信息,"公司亮点：曾被评为""中国信息技术服务产业科技金融领域示范企业”","概念贴合度排名：数据安全,数据要素,智慧政务,AI智能体,DeepSeek概念,百",所属申万行业：软件开发
神州信息,主营业务：技术服务、农业信息化、应用软件开发、金融专用设备相关业务及集成解决方,公司亮点：金融科技全产业链综合服务商,"概念贴合度排名：ERP概念、四,财税数字化四,网络安全国,5G,AIGC概念,AI智能体,",所属申万行业：IT服务I
博彦科技,"主营业务：为客户提供覆盖信息技术服务全生命周期的多层次服务体系,主要业务涵盖产",公司亮点：面向全球的IT咨询、产品、解决方案与服务提供商,"概念贴合度排名：AI语料,智谱AI@,华为盘古国,AIGC概念,ChatGPT概念,DeepSe",所属申万行业：IT服务I
用友网络,主营业务：软件及服务业务、企业互联网服务、互联网金融服务。,"公司亮点：中国企业级应用软件市场占有率第一,公有云SaaS市场占有率第一","概念贴合度排名：财税数字化具,AI智能体,ERP概念⑨,AIGC概念,ChatGPT概念,D",所属申万行业：软件开发
