股票,公司亮点,主营业务,收入,净利润,毛利率
盈峰环境,公司亮点：以环卫机器人为龙头的高端装备制造+环境综合服务商,"主营业务：以""智慧环卫""为核心,为客户在城乡保洁消毒、生活垃圾分类、固废",收入：92.78亿元同比增长3.19%+,净利润：6.04亿元同比增长0.05%+,毛利率：23.89%+
爱仕达,公司亮点：国内炊具行业龙头企业,主营业务：炊具、小家电、家居用品、工业机器人产品及基于工业机器人的智能,收入：21.14亿元同比增长17.19%+,净利润：0.02亿元同比增长101.15%+,毛利率：29.68%+
快克智能,公司亮点：锡焊技术为核心的电子装联专用设备行业领军企业,主营业务：精密电子组装&微组装及半导体封装检测领域提供智能装备解决方案,收入：6.83亿元同比增长15.13%+,净利润：1.63亿元同比增长4.33%+,毛利率：48.31%+
南方精工,公司亮点：滚针轴承、摩托车单向离合器龙头,主营业务：研发、制造和销售滚针轴承、超越离合器、单向滑轮总成和机械零部,收入：5.59亿元同比增长14.28%+,净利润：0.46亿元同比增长635.79%+,毛利率：33.81%+
浙江鼎力,公司亮点：全球高空作业平台领先企业之一,主营业务：各类高空作业平台的研发、制造、销售和服务。,收入：61.34亿元同比增长29.35%+,净利润：14.60亿元同比增长12.91%+,毛利率：36.16%+
森麒麟,公司亮点：轮胎行业智能制造标杆企业,主营业务：子午线轮胎和航空轮胎的研发、生产和销售。,收入：63.40亿元同比增长10.42%+,净利润：17.26亿元同比增长73.72%+,毛利率：35.45%+
卓翼科技,公司亮点：我国内资电子制造外包服务行业的领先企业之一,主营业务：从事网络通讯、消费电子、智能终端类产品的研发、制造与销售。,收入：12.33亿元同比增长14.36%+,净利润：-1.24亿元同比增长28.87%+,毛利率：1.04%+
众业达,"公司亮点：工业电气产品分销规模国内居前,曾合作建立特斯拉粤东地区首个超","主营业务：通过自有的销售网络分销签约供应商的工业电气元器件产品,以及进行",收入：82.93亿元同比下降7.32%+,净利润：1.40亿元同比下降46.84%+,毛利率：8.25%+
豪能股份,"公司亮点：主营汽车变速器用同步器组件,、拥有专业生产优势及优质客户",主营业务：汽车传动系统相关零部件产品的研发、生产和销售以及航空航天零部,收入：23.60亿元同比增长21.29%+,净利润：3.22亿元同比增长76.87%+,毛利率：33.98%+
天永智能,公司亮点：生产线的自动化、柔性化、智能化和信息化等方面技术领先,主营业务：主要从事智能型自动化生产线和智能型自动化装备的研发、设计、生,收入：3.95亿元同比下降23.2%+,净利润：-0.18亿元同比下降317.76%+,毛利率：22.74%+
春光科技,公司亮点：清洁电器软管及配件产品的领域拥有较强的技术优势,主营业务：清洁电器软管、配件及整机ODM/OEM产品的研发、生产和销售。,收入：14.86亿元同比增长9.94%+,净利润：0.05亿元同比下降88.15%+,毛利率：11.64%+
大豪科技,"公司亮点：北京国资委旗下,国内缝制、针织设备电控领域龙头",主营业务：智能装备电控系统及相关产品、智能工厂云平台系统、信息安全硬件,收入：25.29亿元同比增长24.42%+,净利润：5.84亿元同比增长44.08%+,毛利率：41.86%+
金奥博,公司亮点：民爆器材的及工业炸药关键原辅材料领域技术水平国内领先地位,主营业务：提供生产民爆器材的成套工艺技术、装备、软件系统及工业炸药关键,收入：16.32亿元同比增长8.29%+,净利润：1.24亿元同比增长22.37%+,毛利率：未公布+
森源电气,公司亮点：国内一流的高中压开关设备和电力电子装置的中试、研发平台,主营业务：高低压配电成套装置、电能质量治理、高压电器元器件系列产品开发,收入：19.26亿元同比增长5.48%+,净利润：1.31亿元同比增长50.94%+,毛利率：27.94%+
博实股份,公司亮点：主要业务包括工业机器人、自动化成套装备及系统解决方案,"主营业务：石化化工后处理自动化成套设备的研发、生产和销售,并为客户提供",收入：21.65亿元同比增长9.2%+,净利润：4.56亿元同比增长4.98%+,毛利率：34.75%+
凯中精密,"公司亮点：主营新能源核心精密零组件,换向器产销量全球第一,博世""全球优",主营业务：核心精密零组件的研发、设计、制造及销售。,收入：23.30亿元同比增长4.15%+,净利润：1.16亿元同比增长171.72%+,毛利率：17.08%+
中国汽研,"公司亮点：汽车技术服务业务和产业化制造业务,国家级科研机构",主营业务：汽车技术服务和装备制造业务。,收入：46.98亿元同比增长14.68%+,净利润：9.14亿元同比增长9.33%+,毛利率：未公布+
英威腾,"公司亮点：低、中、高压变频器行业领先水平,国家高新技术企业",主营业务：工业自动化、网络能源、新能源汽车、光伏储能。,收入：43.22亿元同比下降5.84%+,净利润：2.87亿元同比下降22.81%+,毛利率：30.23%+
广合科技,公司亮点：中国内资企业中排名第一的服务器PCB供应商,主营业务：多高层印制电路板的研发、生产与销售。,收入：37.34亿元同比增长39.43%+,净利润：2.85元+总股本:4.25亿股,毛利率：33.38%+
国茂股份,"公司亮点：江苏省减速机行业领先企业,荣获江苏品牌产品称号",主营业务：减速机的研发、生产和销售。,收入：19.27亿元同比下降4.17%+,净利润：2.09亿元同比下降21.68%+,毛利率：22.89%+
奥海科技,公司亮点：全球领先的智能便携能源产品提供商,主营业务：消费电子充储电、新能源汽车电控及域控和绿色能源转换产品的设计,收入：45.46亿元同比增长27.4%+,净利润：3.01亿元同比下降13.77%+,毛利率：19.81%+
冀凯股份,"公司亮点：公司是支护机具的骨干生产厂家,市场份额行业前列","主营业务：支护机具、安全钻机、掘进设备和运输机械等矿用机械装备,是矿山",收入：1.93亿元同比下降11.24%+,净利润：-0.14亿元同比增长43.67%+,毛利率：25.37%+
徐工机械,公司亮点：全球工程机械制造商中产品品种与系列最多元化、最齐全的公司,主营业务：土方机械、起重机械、桩工机械、混凝土机械、路面机械、高空作业,收入：687.26亿元同比下降4.11%+,净利润：2.45元+总股本:118.16亿股,毛利率：23.63%+
铭科精技,公司亮点：建立了以CAD3D设计系统、CAE仿真分析系统为核心的产品设计及精,主营业务：汽车五金冲压模具和金属结构件的冲压、焊接及组装。,收入：6.71亿元同比增长7.86%+,净利润：0.77亿元同比增长7.98%+,毛利率：29.01%+
亚威股份,"公司亮点：中高端金属成形机床企业,钣金加工机床国内领先",主营业务：金属成形机床业务、激光加工装备业务、智能制造解决方案业务。,收入：14.91亿元同比下降1.75%+,净利润：1.02亿元同比增长1.29%+,毛利率：26.21%+
雷柏科技,公司亮点：国内无线键鼠行业市场占有率排名第一,主营业务：消费电子产品的自主研发、设计及销售。,收入：4.38亿元同比增长5.58%+,净利润：-0.22元+总股本:2.83亿,毛利率：30.14%+
智微智能,公司亮点：国内智能硬件行业内知名企业,"主营业务：行业终端、ICT基础设施、工业物联网硬件产品及方案的研发、生产,",收入：40.34亿元同比增长10.06%+,净利润：1.25亿元同比增长280.73%+,毛利率：未公布+
电科数字,公司亮点：IT业务集中在增值销售、专业服务、解决方案及创新业务领域,主营业务：数字化产品、行业数字化和数字新基建等三大业务板块。,收入：71.00亿元同比增长2.49%+,净利润：3.02亿元同比增长8.76%+,毛利率：19.54%+
风语筑,公司亮点：中国领先的数字化体验服务商。,主营业务：数字化体验。,收入：9.58亿元同比下降47.94%+,净利润：-1.17亿元同比下降156.06%+,毛利率：21.93%+
新时达,公司亮点：工业机器人出货量连续多年位居国产第一,主营业务：智能制造业务、工业机器人业务、运动控制业务、电气控制业务、变,收入：22.64亿元同比下降12.29%+,净利润：-0.42亿元同比下降153.51%+,毛利率：19.21%+
弘讯科技,公司亮点：中国最大的塑料机械自动化控制系统供货商之一,主营业务：工业自动化(智能制造)、工业互联网(数字化、软件)、新能源三,收入：6.45亿元同比增长22.8%+,净利润：0.49亿元同比增长47.88%+,毛利率：34.79%+
宝武镁业,公司亮点：国内最大专业化镁合金生产商,主营业务：镁、铝轻质合金材料及其挤压、压铸等深加工业务。,收入：63.47亿元同比增长14.09%+,净利润：1.54亿元同比下降25.88%+,毛利率：11.48%+
香山股份,"公司亮点：新能源充配电系统的领航者,汽车智能座舱部件的时尚设计师",主营业务：研发生产和销售汽车零配件及衡器产品。,收入：59.02亿元同比增长1.97%+,净利润：1.55亿元同比下降3.67%+,毛利率：24.17%+
晋拓股份,公司亮点：国内领先的铝合金精密压铸件生产企业,主营业务：铝合金精密压铸件的研发、生产及销售。,收入：8.29亿元同比增长13.73%+,净利润：0.43亿元同比增长10.47%+,毛利率：16.80%+
开普检测,公司亮点：拥有多种产品的国家产品质量监督检验中心资质,主营业务：新型电力系统装备的检测服务、其他技术服务以及检测设备销售等。,收入：2.21亿元同比增长15.99%+,净利润：0.86亿元同比增长45.52%+,毛利率：66.62%+
盈趣科技,公司亮点：自主研发了UMS系统及智能制造生产体系,"主营业务：以UDM模式为基础,为客户提供智能控制部件、创新消费电子、健康",收入：25.39亿元同比下降14.24%+,净利润：1.72亿元同比下降48.43%+,毛利率：27.74%+
上海沪工,"公司亮点：国内较早从事焊接与切割设备生产的企业之一,国家高新技术企业",主营业务：智能制造与高端装备配套板块,收入：7.34亿元同比增长9.57%+,净利润：0.47亿元同比增长6.46%+,毛利率：21.70%+
骏亚科技,"公司亮点：印制电路板的研发、生产和销售,拥有众多包括小米、TCL等优质客","主营业务：印制电路板的研发、生产和销售,及印制电路板的表面贴装。",收入：17.55亿元同比下降5.69%+,净利润：-0.15亿元同比下降117.97%+,毛利率：15.78%+
富佳股份,"公司亮点：知名吸尘器厂商,Shark第一大供应商,切入洗地机、储能领域",主营业务：吸尘器、扫地机器人等智能清洁类小家电及无刷电机等重要零部件的,收入：18.58亿元同比下降2.23%+,净利润：1.45亿元同比下降25.62%+,毛利率：17.06%+
威孚高科,"公司亮点：无锡国资委旗下,汽车尾气净化龙头,我国自主品牌乘用车市场催化",主营业务：汽车核心零部件产品的研发、生产和销售。,收入：82.17亿元同比下降1.5%+,净利润：12.77亿元同比下降3.38%+,毛利率：17.76%+
埃斯顿,"公司亮点：机器人运动控制系统解决方案提供商,国产机器人龙头企业之一",主营业务：从自动化核心部件及运动控制系统、工业机器人、机器人工作站到智,收入：33.67亿元同比增长4.38%+,净利润：-0.67亿元同比下降147.55%+,毛利率：29.67%+
上工申贝,公司亮点：国内缝制设备行业历史最悠久、上市最早的企业,"主营业务：缝制设备及智能制造设备制造行业,经营业务还涉及办公机械、物流",收入：33.85亿元同比增长25.71%+,净利润：-0.39亿元同比下降141.48%+,毛利率：18.37%+
歌尔股份,"公司亮点：电声器件的知名制造商,一流的声学整体解决方案提供商",主营业务：精密零组件业务、智能声学整机业务和智能硬件业务。,收入：1009.54亿元同比增长2.41%+,净利润：26.65亿元同比增长144.93%+,毛利率：11.09%+
福龙马,公司亮点：环境卫生整体解决方案的领先者,"主营业务：环卫装备的研发、生产与销售,以及环卫产业运营服务。",收入：37.91亿元同比增长0.78%+,净利润：1.15亿元同比下降38.06%+,毛利率：20.51%+
奥普光电,"公司亮点：国防用光电测控仪器设备的生产企业,具备相关武器装备科研生产资",主营业务：光电测控仪器设备、新型医疗仪器、光学材料、光栅编码器、高性能,收入：7.57亿元同比下降2.11%+,净利润：0.69亿元同比下降20.64%+,毛利率：未公布+
宝馨科技,公司亮点：国内领先的工业级数控钣金结构产品制造商,主营业务：智能制造业务、新能源业务、光伏电池及组件业务。,收入：2.27亿元同比下降53.99%+,净利润：-1.65亿元同比下降332.3%+,毛利率：5.03%+
均胜电子,"公司亮点：汽车安全和汽车电子全球顶级供应商,特斯拉及华为鸿蒙智行核心供",主营业务：智能驾驶系统、汽车安全系统、新能源汽车动力管理系统以及车联网,收入：558.64亿元同比增长0.24%+,净利润：9.60亿元同比下降11.33%+,毛利率：16.22%+
京城股份,"公司亮点：北京国资委旗下,国内最大的储氢瓶公司,拥有八个专业气体储运装",主营业务：气体储运板块、智能制造板块。,收入：16.49亿元同比增长17.32%+,净利润：0.07亿元同比增长114.47%+,毛利率：18.70%+
联创电子,公司亮点：全球最大的运动相机镜头供应商、全球最大的全景相机镜头和全景景,主营业务：研发、生产及销售为智能手机、平板电脑、智能驾驶、运动相机、智,收入：77.43亿元同比增长9.22%+,净利润：-0.46亿元同比增长85.94%+,毛利率：9.53%+
多伦科技,"公司亮点：智能驾考绝对龙头,深耕智能交通领域多年",主营业务：机动车驾驶人智能培训和考试系统、智能交通类产品、驾驶模拟训练,收入：4.23亿元同比下降0.85%+,净利润：0.42亿元同比增长614.66%+,毛利率：36.96%+
华菱线缆,公司亮点：国内的特种专用电缆生产企业之一,主营业务：电线电缆的研发、生产及销售。,收入：41.58亿元同比增长19.82%+,净利润：1.09亿元同比增长26.07%+,毛利率：11.32%+
博杰股份,公司亮点：专注于工业自动化设备与配件的研发,主营业务：专注于智能制造领域工业自动化、智能化设备及系统解决方案。,收入：8.23亿元同比增长23.03%+,净利润：0.02亿元同比增长128.43%+,毛利率：44.61%+
星网宇达,公司亮点：国内知名的军事训练器材供应商,主营业务：信息感知、卫星通信以及无人系统业务。,收入：2.32亿元同比下降66.53%+,净利润：-0.24亿元同比下降121.12%+,毛利率：38.06%+
中原内配,"公司亮点：全球最大的内燃机气缸套制造商,入股布局了自动驾驶业务",主营业务：内燃机气缸套的研制、开发、制造、销售及技术服务。,收入：24.64亿元同比增长18.9%+,净利润：2.33亿元同比下降10.75%+,毛利率：24.86%+
中联重科,公司亮点：中国工程机械装备制造领军企业,主营业务：工程机械和农业机械的研发、制造、销售和服务。,收入：454.78亿元同比下降3.39%+,净利润：35.20亿元同比增长0.41%+,毛利率：28.17%+
克来机电,"公司亮点：主营新能源汽车领域的柔性自动化生产线与工业机器人系统应用,以",主营业务：智能装备业务和汽车零部件业务。,收入：3.79亿元同比下降8.34%+,净利润：0.34亿元同比下降21.05%+,毛利率：23.88%+
苏美达,"公司亮点：国机集团控股企业,专注于供应链运营、单机产品贸易等业务",主营业务：供应链、产业链。,收入：1171.74亿元同比下降4.75%+,净利润：11.48亿元同比增长11.69%+,毛利率：6.80%+
青鸟消防,"公司亮点：主营消防安全电子系统产品,中国消防报警行业龙头企业",主营业务：消防安全系统产品的研究、开发、生产和销售。,收入：35.21亿元同比下降3.4%+,净利润：3.35亿元同比下降33.66%+,毛利率：37.60%+
山东威达,"公司亮点：山东省各类钻夹头的专业制造商,中国驰名商标",主营业务：钻夹头、电动工具开关、粉末冶金件、精密铸造制品、锯片、机床及,收入：16.15亿元同比下降4.32%+,净利润：1.99亿元同比增长91.89%+,毛利率：24.21%+
光洋股份,公司亮点：国内汽车变速器用滚针轴承、以及离合器分离轴承的主要供应商之一,主营业务：各类新能源与燃油汽车精密零部件、高端工业装备、智能机器人零部,收入：17.06亿元同比增长31.25%+,净利润：0.40亿元同比增长163.97%+,毛利率：14.51%+
科达利,"公司亮点：锂电池精密结构件龙头,宁德时代优选供应商,供货特斯拉等知名厂",主营业务：锂电池精密结构件和汽车结构件研发及制造。,收入：85.92亿元同比增长10.6%+,净利润：10.16亿元同比增长27.86%+,毛利率：23.19%+
神州数码,公司亮点：国内领先的云管理服务及数字化方案提供商,主营业务：IT分销及增值服务、自有品牌产品、数云服务及软件。,收入：1281.66亿元同比增长7.14%+,净利润：7.53亿元同比下降35.77%+,毛利率：4.21%+
云鼎科技,"公司亮点：山东省属山能集团旗下,聚焦""北斗+""和""矿山工业智能"",深耕矿山餐",主营业务：工业互联网平台业务、智能矿山业务、智能洗选业务、智慧电力新能,收入：13.51亿元同比增长18.35%+,净利润：0.93亿元同比增长50.11%+,毛利率：32.78%+
远东传动,公司亮点：国内最大的非等速传动轴生产企业,主营业务：非等速传动轴、等速驱动轴及相关零部件的研发、生产与销售。,收入：12.77亿元同比下降2.34%+,净利润：1.18亿元同比增长25.76%+,毛利率：23.13%+
泰尔股份,公司亮点：国内冶金行业用联轴器领域龙头企业,主营业务：高端装备的研发、生产、销售和智慧运维服务。,收入：7.38亿元同比下降8.41%+,净利润：0.07元+总股本:5.05亿,毛利率：21.44%+
创元科技,公司亮点：环保设备及工程、输变电高压瓷绝缘子、精密轴承行业优秀企业,主营业务：洁净环保工程及设备、输变电高压瓷绝缘子、滚针轴承、各类光机电,收入：41.92亿元同比下降3.03%+,净利润：2.51亿元同比增长61.39%+,毛利率：23.83%+
华明装备,"公司亮点：国内分接开关行业的领军企业,专用数控成套加工设备龙头企业","主营业务：电力设备业务,主要为变压器分接开关的研发、生产、销售和全生命",收入：23.22亿元同比增长18.41%+,净利润：6.14亿元同比增长13.25%+,毛利率：48.80%+
北纬科技,公司亮点：围绕物联网、手机游戏和移动转售三大核心业务的互联网企业,主营业务：物联网应用及其他移动通信业务、手机游戏业务和北纬移动互联网产,收入：2.82亿元同比增长6.15%+,净利润：0.26亿元同比增长14.45%+,毛利率：38.84%+
东方嘉盛,"公司亮点：国内较早涉足供应链管理行业的本土企业之一,行业内较高知名度",主营业务：为客户提供一体化供应链服务和产品采购分销交易服务。,收入：25.76亿元同比增长25.07%+,净利润：1.79亿元同比增长16.61%+,毛利率：12.55%+
亿道信息,公司亮点：外销为主的笔记本、平板电脑等消费电子产品ODM厂商,主营业务：笔记本电脑、平板电脑及其他智能硬件等电子设备的研发、设计、生,收入：22.95亿元同比增长22.58%+,净利润：0.21亿元同比下降77.9%+,毛利率：15.06%+
中航光电,公司亮点：国内最大的军用光电连接器制造企业,主营业务：中高端光、电、流体连接技术与产品的研究与开发。,收入：206.86亿元同比增长3.04%+,净利润：5.45元+总股本:21.18亿股,毛利率：36.61%+
振江股份,"公司亮点：主营风电设备和光伏设备零部件,与西门子等全球知名企业合作",主营业务：风电设备、光伏/光热设备零部件;紧固件的设计、加工与销售;海_,收入：39.46亿元同比增长2.71%+,净利润：1.78亿元同比下降2.99%+,毛利率：19.86%+
中兴通讯,公司亮点：全球领先的综合性通信制造商、通信解决方案提供商之一,"主营业务：为客户提供满意的ICT产品及解决方案,集①设计、开发、生产、销售",收入：1212.99亿元同比下降2.38%+,净利润：8.34元+总股本:47.84亿股,毛利率：37.91%+
金溢科技,"公司亮点：国内较早布局ETC业务的企业,同时拥有ETC、V2X、RFID三大核心",主营业务：智慧交通和物联网领域的应用开发、产品创新与推广。,收入：3.52亿元同比增长0.68%+,净利润：0.31亿元同比增长17.4%+,毛利率：35.93%+
通达动力,"公司亮点：国家级专精特新""小巨人"",主营电动机、发电机、新能源汽车定转子",主营业务：电动机、发电机、新能源汽车定转子铁芯的研发、生产、销售和服务,收入：12.60亿元同比下降6.7%+,净利润：0.44亿元同比下降39.92%+,毛利率：12.08%+
沃特股份,公司亮点：主要产品包括改性通用塑料、五大工程塑料以及特种工程塑料,主营业务：从事高性能功能高分子材料合成、改性和成品的研发、生产制造、销,收入：12.87亿元同比增长16.29%+,净利润：0.25亿元同比增长62.97%+,毛利率：17.91%+
沃尔核材,公司亮点：国内专业从事高分子辐射改性新材料研发制造的龙头企业,主营业务：高分子核辐射改性新材料及系列电子、电力、电线新产品的研发、制,收入：69.31亿元同比增长21.11%+,净利润：8.60亿元同比增长22.7%+,毛利率：未公布+
比依股份,"公司亮点：空气炸锅第一股,中国十大厨房家电出口企业之一",主营业务：智能小家电产品的研发、设计、制造和销售。,收入：14.80亿元同比增长17.46%+,净利润：1.02亿元同比下降42.08%+,毛利率：16.17%+
中信重工,公司亮点：国内领先、全球稀缺的高端重型机械加工制造能力,主营业务：矿山及重型装备、机器人及智能装备、新能源装备、特种材料等领域,收入：80.34亿元同比下降15.93%+,净利润：0.20元+总股本:45.80亿股,毛利率：22.68%+
信捷电气,公司亮点：机械用皮带轮传动系列产品出口规模位居国内同行业第一,主营业务：机械传动与传动联结件、机械非标定制件、工业机器人、数控机床和,收入：3.95亿元同比增长6.73%+,净利润：-0.37亿元同比下降304.25%+,毛利率：:-0.3/亿光同比下降304.23%￥
三晖电气,公司亮点：三晖电气电能表标准与校验装置市场占有率位列行业第一,主营业务：与电能表的生产、检定、使用、信息采集、仓储全过程相关产品的研,收入：1.59亿元同比增长8.96%+,净利润：-0.21亿元同比下降148.06%+,毛利率：31.86%+
德邦股份,公司亮点：快递、快运行业标杆企业,主营业务：公路快运与快递及相关增值业务服务。,收入：403.79亿元同比增长11.3%+,净利润：8.61亿元同比增长15.41%+,毛利率：未公布+
